Age,Gender,Annual Income,Marital Status,Number of Dependents,Education Level,Occupation,Health Score,Location,Policy Type,Previous Claims,Credit Score,Insurance Duration,Customer Feedback,Smoking Status,Exercise Frequency,Property Type,Premium Amount,Year,Day,Month_name
22.0,Male,37270.0,Divorced,1.0,High School,Employed,3.4243649207528004,Suburban,Comprehensive,2.0,,4.0,Good,Yes,Weekly,House,313.0,2020,11,September
57.0,Male,29768.0,,3.0,Bachelor's,,9.653461446720604,Suburban,Basic,1.0,552.0,6.0,Good,Yes,Rarely,Condo,923.0,2022,4,November
50.0,Male,27039.0,Single,0.0,PhD,Self-Employed,25.8814265907511,Urban,Comprehensive,,848.0,9.0,Poor,No,Rarely,House,104.0,2024,14,January
60.0,Female,77939.0,Single,2.0,Bachelor's,Self-Employed,50.95929706988294,Suburban,Basic,,452.0,9.0,Average,Yes,Rarely,House,3432.0,2022,3,April
57.0,Female,6750.0,Divorced,,High School,,25.42442865565025,Rural,Basic,,561.0,1.0,Good,No,Daily,House,34.0,2022,23,October
61.0,Female,7098.0,Divorced,0.0,Master's,Unemployed,32.77987941228161,Suburban,Comprehensive,1.0,793.0,8.0,Poor,No,Weekly,Condo,587.0,2023,10,September
24.0,Male,39603.0,Single,4.0,PhD,Unemployed,,Urban,Comprehensive,,498.0,4.0,Average,No,Daily,Apartment,438.0,2022,25,April
61.0,Male,,Single,1.0,Master's,Unemployed,20.8173569411487,Rural,Basic,,801.0,6.0,Good,Yes,Daily,Condo,110.0,2022,1,May
51.0,Female,29097.0,Single,4.0,Master's,Unemployed,37.57248799927996,Urban,Premium,0.0,614.0,6.0,Poor,Yes,Weekly,Condo,495.0,2021,13,May
45.0,Male,30982.0,Single,4.0,PhD,Unemployed,22.184569469884188,Suburban,Comprehensive,1.0,405.0,3.0,Average,Yes,Weekly,Condo,716.0,2022,18,November
21.0,Female,41495.0,Divorced,2.0,Master's,,38.986418562744525,Urban,Premium,0.0,336.0,6.0,Poor,No,Weekly,Condo,2944.0,2020,18,May
53.0,Male,32432.0,Married,3.0,Master's,,18.097683219205955,Rural,Basic,0.0,,7.0,Good,Yes,Daily,House,736.0,2024,16,April
32.0,Female,2864.0,Married,3.0,PhD,,22.03681673469184,Urban,Basic,3.0,692.0,7.0,Good,Yes,Daily,Condo,1230.0,2023,9,June
40.0,Female,17883.0,Single,1.0,PhD,,9.182736522672728,Urban,Basic,2.0,,3.0,Poor,Yes,Daily,Apartment,223.0,2020,30,June
47.0,Female,13521.0,Divorced,1.0,Master's,,14.611368791356696,Suburban,Comprehensive,2.0,682.0,6.0,Good,Yes,Daily,House,722.0,2019,2,November
40.0,Male,16284.0,Married,0.0,PhD,Unemployed,43.58111723467341,Suburban,Premium,1.0,713.0,6.0,Poor,No,Monthly,Apartment,2656.0,2021,30,June
37.0,Male,9912.0,Single,3.0,Master's,Employed,30.95765209540378,Suburban,Comprehensive,1.0,454.0,9.0,Poor,Yes,Rarely,Condo,1804.0,2022,9,October
28.0,Female,8831.0,Married,0.0,High School,Self-Employed,16.796794008359434,Urban,Comprehensive,,479.0,6.0,Good,No,Rarely,Condo,553.0,2023,22,March
45.0,Female,15380.0,Single,1.0,Master's,Unemployed,6.818884847251389,Rural,Premium,1.0,622.0,6.0,Good,No,Daily,Condo,312.0,2022,2,October
60.0,Male,25776.0,Divorced,2.0,PhD,,27.17530127379923,Urban,Comprehensive,1.0,,9.0,Average,No,Weekly,House,1108.0,2022,29,August
22.0,Male,43945.0,Married,,Master's,,30.98867912201333,Urban,Premium,1.0,638.0,8.0,Good,Yes,Weekly,Condo,792.0,2020,15,December
30.0,Male,3452.0,Single,0.0,Bachelor's,,19.67847554751777,Suburban,Comprehensive,1.0,810.0,9.0,Poor,Yes,Monthly,Apartment,2128.0,2023,18,April
20.0,Female,988.0,Divorced,1.0,Bachelor's,Self-Employed,22.93554176395749,Urban,Basic,,506.0,5.0,Poor,No,Monthly,Apartment,2195.0,2021,2,April
29.0,Female,34753.0,Divorced,1.0,Master's,Unemployed,17.913547598152057,Suburban,Basic,1.0,607.0,2.0,Average,Yes,Weekly,Condo,1137.0,2023,23,May
41.0,Female,15110.0,Divorced,3.0,PhD,,11.09130870927296,Rural,Premium,0.0,,5.0,Good,No,Daily,Condo,62.0,2022,21,June
48.0,Female,12235.0,Married,4.0,PhD,Self-Employed,46.77401548296853,Suburban,Comprehensive,,687.0,8.0,Average,No,Monthly,House,781.0,2023,27,May
39.0,Female,28198.0,Single,0.0,Master's,Self-Employed,22.640840325896285,Suburban,Premium,0.0,515.0,8.0,Poor,No,Daily,House,916.0,2024,27,January
60.0,Female,27391.0,Married,1.0,Bachelor's,Unemployed,41.53657558846329,Suburban,Comprehensive,0.0,312.0,2.0,Poor,No,Monthly,Apartment,827.0,2023,25,July
35.0,Female,14824.0,Divorced,1.0,PhD,,35.81931104518389,Suburban,Basic,1.0,588.0,8.0,Good,Yes,Monthly,Apartment,143.0,2020,19,September
30.0,Female,11536.0,Single,1.0,Master's,,41.84738471857381,Suburban,Premium,1.0,518.0,3.0,Good,No,Weekly,House,1337.0,2021,9,July
56.0,Female,43470.0,Divorced,3.0,Bachelor's,,40.28658540696239,Urban,Basic,,690.0,6.0,Poor,Yes,Monthly,Apartment,731.0,2021,7,August
36.0,Female,3062.0,Married,0.0,Bachelor's,,14.988666121067205,Urban,Comprehensive,,839.0,3.0,Good,Yes,Rarely,Condo,3760.0,2023,25,October
38.0,Female,4603.0,Divorced,4.0,PhD,Unemployed,25.812704828175328,Suburban,Premium,1.0,728.0,1.0,Average,No,Weekly,House,232.0,2021,21,May
36.0,Female,105930.0,Single,3.0,Master's,Self-Employed,46.9063947940811,Rural,Premium,0.0,311.0,3.0,Average,Yes,Monthly,Apartment,1996.0,2019,23,September
58.0,Female,18098.0,Divorced,4.0,Bachelor's,,7.944687519771554,Rural,Premium,,782.0,4.0,Good,No,Weekly,House,554.0,2023,30,January
58.0,Male,44769.0,Married,0.0,Bachelor's,Employed,,Rural,Comprehensive,,725.0,3.0,Good,No,Daily,House,811.0,2021,11,December
35.0,Female,26863.0,Single,3.0,PhD,,50.44704773597134,Rural,Comprehensive,,483.0,9.0,,Yes,Rarely,Apartment,1682.0,2022,13,June
27.0,Female,30823.0,Single,1.0,High School,Self-Employed,13.83884262670237,Rural,Basic,0.0,608.0,3.0,Average,Yes,Weekly,Condo,562.0,2021,31,August
19.0,Male,131437.0,Divorced,2.0,PhD,,18.58481814636438,Urban,Comprehensive,4.0,484.0,6.0,,No,Rarely,Condo,1730.0,2021,25,May
19.0,Male,48826.0,Single,2.0,Master's,Unemployed,44.39227890951677,Suburban,Basic,,439.0,6.0,Good,No,Daily,House,562.0,2019,18,October
46.0,Female,5908.0,Married,2.0,Master's,Self-Employed,16.796052073209147,Rural,Basic,,622.0,6.0,Average,No,Rarely,House,567.0,2021,15,August
59.0,Male,40984.0,Divorced,1.0,High School,Self-Employed,12.02784077504776,Suburban,Basic,2.0,481.0,8.0,Average,Yes,Weekly,Apartment,434.0,2020,25,August
48.0,Female,18227.0,Married,1.0,Bachelor's,Unemployed,26.93528992106596,Rural,Premium,1.0,671.0,3.0,Poor,No,Daily,House,2705.0,2023,3,November
25.0,Female,28683.0,,4.0,High School,,19.91724895837884,Suburban,Comprehensive,,,5.0,Good,Yes,Monthly,Apartment,447.0,2020,8,July
28.0,Female,29593.0,Single,3.0,Master's,Unemployed,13.835503041843769,Urban,Basic,,578.0,8.0,Average,No,Daily,Condo,1784.0,2021,22,September
64.0,Female,1851.0,Single,1.0,Master's,Self-Employed,,Urban,Premium,,565.0,7.0,Poor,No,Weekly,Apartment,643.0,2021,11,February
38.0,Male,1327.0,,0.0,Master's,Self-Employed,23.81784671645249,Urban,Basic,1.0,787.0,6.0,Poor,No,Daily,House,706.0,2021,9,June
43.0,Female,,Single,4.0,Bachelor's,,19.857107833345832,Suburban,Premium,,445.0,1.0,Good,Yes,Monthly,Condo,3010.0,2021,21,January
47.0,Female,11582.0,Married,,PhD,Employed,,Suburban,Comprehensive,3.0,570.0,5.0,Average,Yes,Daily,Apartment,1747.0,2020,26,August
56.0,Male,8779.0,Married,4.0,Bachelor's,,4.8705172716699545,Suburban,Premium,,643.0,2.0,Good,No,Monthly,Apartment,831.0,2024,28,January
54.0,Female,86700.0,Married,4.0,Master's,Self-Employed,40.59881647302991,Suburban,Premium,3.0,746.0,9.0,Good,No,Monthly,Apartment,2035.0,2024,3,January
44.0,Female,20997.0,Married,0.0,Master's,Employed,24.12163728634588,Rural,Basic,,551.0,3.0,Average,No,Rarely,House,2271.0,2022,21,February
53.0,Female,,Divorced,0.0,Master's,Self-Employed,23.14295381582028,Suburban,Comprehensive,,659.0,8.0,Average,No,Monthly,Condo,385.0,2024,28,February
64.0,Female,91371.0,Married,1.0,PhD,Unemployed,45.71592138289235,Suburban,Basic,0.0,,3.0,Poor,Yes,Weekly,Condo,165.0,2019,28,December
64.0,Female,58628.0,Single,0.0,High School,Employed,55.77759674378564,Rural,Comprehensive,,564.0,9.0,Good,No,Monthly,Apartment,845.0,2024,20,May
62.0,Male,24728.0,Single,4.0,Bachelor's,Self-Employed,29.012414929007864,Suburban,Basic,0.0,517.0,6.0,Average,No,Rarely,Apartment,4461.0,2020,6,June
63.0,Male,29894.0,Single,4.0,Master's,Self-Employed,19.01399197656701,Rural,Basic,,554.0,3.0,Average,No,Weekly,Apartment,1864.0,2023,22,October
56.0,Male,8590.0,Single,,Master's,Employed,43.31361513709703,Rural,Comprehensive,0.0,478.0,9.0,Good,No,Rarely,House,1115.0,2020,26,November
34.0,Female,35258.0,Single,3.0,Bachelor's,Unemployed,7.898290589796862,Suburban,Premium,1.0,569.0,7.0,Average,No,Rarely,Apartment,516.0,2024,26,May
21.0,Female,3094.0,Married,1.0,Master's,Self-Employed,46.24376319428293,Rural,Comprehensive,3.0,659.0,8.0,Poor,Yes,Rarely,Condo,562.0,2020,28,June
43.0,Female,6872.0,Married,1.0,PhD,Self-Employed,38.65758530207782,Suburban,Premium,1.0,,6.0,Poor,No,Rarely,House,1318.0,2022,19,September
25.0,Male,15673.0,Divorced,2.0,High School,Self-Employed,29.83965290405707,Urban,Premium,1.0,682.0,8.0,Poor,Yes,Monthly,Apartment,841.0,2020,8,October
52.0,Male,5526.0,Single,,PhD,Self-Employed,12.945141883238357,Suburban,Premium,1.0,318.0,2.0,Average,No,Daily,Apartment,967.0,2020,18,April
55.0,Female,27354.0,Single,4.0,Bachelor's,,28.977647375069065,Suburban,Comprehensive,,,5.0,Good,Yes,Weekly,Apartment,1569.0,2020,17,July
37.0,Male,113273.0,Single,4.0,Master's,Unemployed,7.185736328129362,Urban,Comprehensive,2.0,,5.0,Average,No,Daily,Condo,395.0,2022,7,July
62.0,Female,45937.0,Single,3.0,Master's,,19.90864696499528,Rural,Comprehensive,1.0,790.0,5.0,Good,No,Daily,Condo,814.0,2023,12,January
33.0,Male,2799.0,Single,2.0,High School,Unemployed,,Rural,Comprehensive,1.0,487.0,6.0,Poor,No,Weekly,House,686.0,2021,24,May
41.0,Female,1823.0,Divorced,2.0,Master's,Unemployed,24.005326255431296,Urban,Basic,,630.0,3.0,Average,No,Monthly,House,114.0,2021,2,January
33.0,Male,18280.0,Divorced,2.0,Bachelor's,Employed,27.482170630396872,Urban,Basic,0.0,429.0,9.0,Good,No,Weekly,Apartment,1209.0,2019,29,October
54.0,Female,29645.0,Divorced,2.0,Bachelor's,,14.23289027936035,Urban,Comprehensive,1.0,653.0,2.0,Poor,Yes,Weekly,Apartment,577.0,2021,26,January
64.0,Female,10953.0,Divorced,2.0,High School,Employed,27.01798508116952,Urban,Basic,0.0,324.0,1.0,,No,Daily,House,1933.0,2023,3,March
41.0,Female,,Divorced,3.0,High School,,26.81858411610668,Suburban,Comprehensive,1.0,402.0,6.0,Good,Yes,Weekly,Apartment,3345.0,2023,12,October
34.0,Female,20008.0,Single,3.0,PhD,,10.735995352345885,Suburban,Premium,0.0,719.0,3.0,Average,No,Weekly,Condo,813.0,2022,15,April
33.0,Female,44969.0,Single,2.0,Bachelor's,,25.7221559384176,Suburban,Premium,,749.0,3.0,Good,Yes,Weekly,Condo,714.0,2022,29,September
26.0,Female,28561.0,,,Master's,Unemployed,14.959761394776372,Rural,Comprehensive,1.0,486.0,1.0,,No,Weekly,Apartment,1116.0,2022,20,January
48.0,Male,3631.0,Single,1.0,High School,Employed,6.575026547968744,Urban,Comprehensive,,461.0,2.0,Good,Yes,Daily,Apartment,1480.0,2020,13,September
46.0,Female,75561.0,Single,1.0,High School,Self-Employed,12.072405380720314,Suburban,Comprehensive,1.0,695.0,1.0,Average,No,Weekly,House,379.0,2021,9,April
61.0,Male,58823.0,Single,3.0,PhD,Unemployed,44.38009541218548,Urban,Basic,1.0,369.0,1.0,Good,No,Daily,Condo,1670.0,2023,8,October
39.0,Female,137754.0,Married,0.0,Bachelor's,Employed,21.709717329683333,Urban,Premium,,370.0,1.0,Poor,Yes,Monthly,House,1159.0,2021,1,January
51.0,Female,16091.0,Married,4.0,Bachelor's,,,Urban,Premium,2.0,551.0,4.0,Average,Yes,Weekly,Condo,632.0,2024,18,March
42.0,Male,10511.0,Single,3.0,Bachelor's,,35.9071901249285,Suburban,Premium,0.0,712.0,8.0,Poor,Yes,Daily,Condo,590.0,2020,6,May
40.0,Female,109766.0,Single,2.0,Master's,,16.245935604822932,Urban,Premium,0.0,782.0,8.0,Poor,No,Monthly,Condo,100.0,2022,15,October
62.0,Female,19354.0,Married,1.0,Bachelor's,Unemployed,19.81247384978513,Urban,Premium,1.0,,6.0,Poor,No,Weekly,House,1935.0,2021,10,August
58.0,Female,5877.0,Divorced,0.0,Master's,,45.34609638629713,Suburban,Basic,1.0,,1.0,Average,Yes,Rarely,House,518.0,2020,10,April
54.0,Female,82622.0,,1.0,High School,Unemployed,16.35121692260394,Rural,Basic,,666.0,7.0,Average,Yes,Daily,House,3453.0,2021,3,July
19.0,Female,25169.0,Divorced,3.0,PhD,Employed,44.69893374182425,Urban,Comprehensive,,731.0,8.0,Good,No,Daily,Condo,537.0,2020,27,March
63.0,Female,,Single,2.0,Bachelor's,Unemployed,14.084915663674304,Rural,Premium,3.0,784.0,9.0,,Yes,Daily,Condo,20.0,2020,6,January
24.0,Female,930.0,Married,1.0,High School,Unemployed,22.73844611015351,Urban,Comprehensive,1.0,464.0,3.0,Poor,Yes,Weekly,Apartment,582.0,2021,2,February
54.0,Male,39042.0,Single,2.0,Bachelor's,Self-Employed,36.91886003276128,Urban,Basic,1.0,638.0,3.0,Average,No,Rarely,Apartment,543.0,2020,9,February
40.0,Female,12937.0,Single,2.0,Bachelor's,Unemployed,22.826320287046936,Urban,Basic,,602.0,7.0,Good,No,Rarely,Condo,128.0,2023,11,December
52.0,Female,45429.0,Divorced,3.0,PhD,Employed,27.71726705003025,Rural,Comprehensive,1.0,534.0,6.0,Poor,No,Monthly,Condo,739.0,2021,27,December
26.0,Male,38156.0,Single,1.0,PhD,,17.72640426890239,Urban,Basic,1.0,819.0,9.0,,No,Monthly,House,587.0,2023,22,October
63.0,Male,53368.0,Single,2.0,Bachelor's,Self-Employed,10.951450228063395,Urban,Comprehensive,0.0,702.0,6.0,Good,No,Rarely,House,402.0,2020,25,October
36.0,Female,17891.0,Single,4.0,Bachelor's,Self-Employed,41.50656769294228,Suburban,Basic,1.0,658.0,2.0,Average,No,Weekly,Condo,607.0,2020,27,August
27.0,Female,22060.0,Married,0.0,PhD,,22.12129598366247,Rural,Basic,1.0,594.0,6.0,Average,No,Weekly,Condo,727.0,2020,26,July
33.0,Female,93688.0,Divorced,4.0,PhD,Unemployed,36.94630441055734,Rural,Basic,2.0,814.0,3.0,Average,Yes,Monthly,Condo,2856.0,2019,1,September
33.0,Female,106714.0,,2.0,Master's,Self-Employed,28.233439297947942,Rural,Comprehensive,1.0,779.0,1.0,Poor,No,Daily,Apartment,2466.0,2021,20,May
19.0,Male,37156.0,Divorced,3.0,Master's,,,Urban,Premium,0.0,515.0,9.0,Good,Yes,Monthly,House,2301.0,2019,24,November
19.0,Female,16058.0,Single,2.0,Master's,Unemployed,4.637130006117439,Rural,Basic,,614.0,4.0,Average,No,Monthly,Condo,753.0,2022,5,September
30.0,Male,16510.0,Married,0.0,PhD,Unemployed,28.14647910047508,Urban,Basic,,,9.0,Poor,No,Daily,Condo,1083.0,2023,20,April
35.0,Male,48761.0,Divorced,0.0,PhD,Self-Employed,13.322327390652324,Urban,Comprehensive,1.0,,3.0,Poor,No,Rarely,House,34.0,2019,5,September
62.0,Female,9894.0,Married,1.0,Bachelor's,,7.384765789701049,Rural,Premium,0.0,545.0,3.0,Good,No,Rarely,Condo,474.0,2023,30,October
,Female,679.0,Single,3.0,PhD,Unemployed,17.927691995370918,Suburban,Comprehensive,3.0,571.0,7.0,Poor,Yes,Monthly,House,619.0,2023,31,January
20.0,Male,14728.0,Married,,Bachelor's,Self-Employed,35.064411913514434,Suburban,Premium,,622.0,9.0,Poor,No,Weekly,Apartment,1041.0,2023,18,August
26.0,Female,92975.0,Divorced,0.0,Bachelor's,,13.267438251594472,Rural,Comprehensive,2.0,517.0,6.0,Average,No,Weekly,House,2137.0,2021,16,December
28.0,Male,145223.0,Divorced,4.0,Master's,,4.108316869342919,Suburban,Basic,,312.0,4.0,Average,No,Weekly,Apartment,1126.0,2022,27,November
59.0,Male,109836.0,Divorced,4.0,Bachelor's,Employed,18.24056176398744,Suburban,Premium,,392.0,4.0,Good,Yes,Daily,Condo,971.0,2022,20,May
52.0,Female,5796.0,Married,1.0,Bachelor's,,39.2913815246737,Urban,Comprehensive,,637.0,8.0,Poor,Yes,Monthly,Apartment,514.0,2023,16,June
30.0,Male,1628.0,Single,4.0,Bachelor's,Unemployed,27.917246531705096,Suburban,Premium,,582.0,7.0,Average,No,Rarely,Condo,29.0,2021,16,February
18.0,Male,9071.0,Married,4.0,High School,Unemployed,24.79644887915458,Suburban,Comprehensive,,537.0,2.0,Average,Yes,Daily,House,88.0,2020,18,December
58.0,Female,44334.0,Single,0.0,Master's,Employed,14.858250420486169,Suburban,Premium,0.0,819.0,1.0,Good,No,Weekly,Apartment,327.0,2020,3,July
45.0,Female,53337.0,Divorced,,PhD,Self-Employed,36.79349848531601,Rural,Comprehensive,1.0,391.0,3.0,Poor,Yes,Monthly,Apartment,473.0,2021,20,April
29.0,Male,24983.0,Single,1.0,Bachelor's,Unemployed,13.9398630087727,Rural,Comprehensive,1.0,591.0,6.0,Good,Yes,Monthly,House,772.0,2020,8,January
51.0,Male,37782.0,Married,2.0,Bachelor's,Self-Employed,22.73501963432773,Rural,Premium,0.0,,3.0,,No,Daily,Apartment,384.0,2020,4,May
40.0,Female,90781.0,Single,1.0,PhD,Unemployed,52.89831714257664,Suburban,Basic,0.0,557.0,9.0,Average,No,Rarely,Apartment,1559.0,2019,2,October
53.0,Female,122661.0,Married,,Master's,,16.8395860174622,Suburban,Premium,0.0,551.0,7.0,Good,No,Daily,Apartment,100.0,2021,31,January
53.0,Female,25303.0,Married,1.0,Master's,Self-Employed,13.615724972213828,Suburban,Premium,0.0,623.0,7.0,Poor,Yes,Monthly,Condo,1120.0,2023,1,April
42.0,Female,464.0,Single,3.0,High School,Employed,16.93720332790665,Rural,Comprehensive,2.0,583.0,9.0,Good,No,Rarely,House,647.0,2022,18,February
19.0,Male,8076.0,Divorced,0.0,High School,,24.774569673337503,Suburban,Basic,0.0,689.0,8.0,Average,Yes,Rarely,Condo,1465.0,2023,11,January
32.0,Female,2155.0,Single,2.0,PhD,Unemployed,25.69188680253887,Urban,Comprehensive,0.0,802.0,7.0,Average,No,Monthly,House,489.0,2019,25,September
22.0,Female,1399.0,Married,,Master's,,24.052669589344184,Urban,Comprehensive,1.0,659.0,8.0,Good,No,Daily,House,381.0,2024,3,April
27.0,Female,1526.0,Married,2.0,High School,,8.48687104257745,Suburban,Premium,4.0,,4.0,Good,Yes,Monthly,Apartment,1733.0,2022,19,March
22.0,Female,30913.0,Divorced,,Bachelor's,Employed,28.86844088711503,Urban,Comprehensive,,352.0,7.0,Poor,No,Daily,Condo,1063.0,2022,24,October
21.0,Female,28706.0,Married,2.0,Master's,Unemployed,8.82904218687276,Urban,Basic,1.0,635.0,2.0,Average,Yes,Weekly,House,1174.0,2019,17,November
20.0,Female,4413.0,Divorced,2.0,Master's,Unemployed,16.92367374005714,Urban,Basic,0.0,477.0,4.0,Average,No,Daily,Condo,758.0,2023,7,June
54.0,Male,43410.0,Divorced,4.0,Bachelor's,Employed,41.07105923429245,Rural,Comprehensive,0.0,718.0,8.0,Poor,No,Monthly,Condo,1034.0,2019,26,September
41.0,Female,16082.0,Single,0.0,Bachelor's,Unemployed,16.89570770556818,Urban,Premium,2.0,573.0,7.0,Average,Yes,Monthly,Apartment,1067.0,2020,4,February
,Female,,Single,2.0,High School,Self-Employed,22.98382393610656,Urban,Comprehensive,,328.0,3.0,Poor,No,Monthly,Apartment,23.0,2023,10,August
56.0,Female,85716.0,Married,4.0,Master's,Employed,25.4474124646345,Suburban,Basic,2.0,748.0,1.0,Good,Yes,Rarely,House,363.0,2022,6,April
33.0,Male,9073.0,Single,3.0,PhD,Unemployed,25.051114609541013,Rural,Comprehensive,1.0,659.0,9.0,Good,No,Daily,House,937.0,2024,19,April
39.0,Male,19732.0,Single,3.0,PhD,Self-Employed,36.326899905578045,Urban,Premium,0.0,459.0,6.0,,No,Daily,Apartment,394.0,2020,6,October
44.0,Male,55820.0,Divorced,2.0,Master's,,,Urban,Basic,3.0,745.0,4.0,Average,No,Rarely,Apartment,906.0,2023,10,February
,Male,33113.0,Single,1.0,Bachelor's,Employed,3.5715403306934195,Suburban,Premium,,396.0,2.0,Average,No,Daily,Apartment,2780.0,2021,30,November
21.0,Male,16096.0,Divorced,2.0,PhD,,41.14681383871724,Rural,Premium,0.0,770.0,1.0,Poor,No,Rarely,Condo,761.0,2019,4,September
45.0,Male,25573.0,Single,3.0,Master's,Unemployed,,Rural,Basic,2.0,,8.0,Poor,Yes,Weekly,Apartment,2596.0,2021,24,November
57.0,Male,,Single,4.0,PhD,Employed,15.908482395288798,Urban,Comprehensive,,,9.0,Poor,No,Rarely,Condo,356.0,2022,27,July
49.0,Female,20700.0,Married,3.0,Master's,,37.76928984950498,Rural,Comprehensive,1.0,740.0,7.0,Poor,Yes,Weekly,Apartment,1246.0,2023,9,December
40.0,Female,44759.0,Single,4.0,Bachelor's,Unemployed,44.37790507755766,Rural,Premium,2.0,479.0,9.0,Good,Yes,Daily,Condo,1515.0,2022,15,September
38.0,Female,6791.0,Married,0.0,High School,Unemployed,28.413898972800784,Suburban,Comprehensive,1.0,513.0,7.0,Good,No,Daily,Apartment,1836.0,2023,9,July
27.0,Male,54826.0,Divorced,4.0,PhD,,12.849269129027284,Suburban,Comprehensive,,319.0,6.0,Average,No,Monthly,House,471.0,2021,16,August
55.0,Male,,Married,,Bachelor's,Self-Employed,20.715824299852148,Suburban,Basic,0.0,410.0,5.0,Poor,Yes,Weekly,House,1029.0,2022,3,August
